"","accession","domain","family","genome_type","host","isolate","order","size","subfamily","subgenome_type","topology","virus","Host_name","species_level"
"564","NC_029032","Viruses",NA,"dsDNA viruses, no RNA stage","Phormidium sp. MIS-PhA",NA,NA,45532,NA,"unclassified dsDNA phages","circular","Phormidium phage MIS-PhV1A","Phormidium_sp","Yes"
"565","NC_023693","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Escherichia coli K92",NA,"Caudovirales",148612,NA,NA,"linear","Enterobacteria phage phi92","Escherichia_coli","Yes"
"566","NC_012223","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Escherichia coli",NA,"Caudovirales",44899,NA,"Hk578virus","circular","Escherichia virus SSL2009a","Escherichia_coli","Yes"
"567","NC_015293","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Pseudoalteromonas sp. H105",NA,"Caudovirales",30651,NA,NA,"linear","Pseudoalteromonas phage H105/1","Pseudoalteromonas_sp","Yes"
"568","NC_013152","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Lactococcus lactis SMQ-404",NA,"Caudovirales",29459,NA,"Sk1virus","linear","Lactococcus virus CB14","Lactococcus_lactis","Yes"
"569","NC_013155","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Lactococcus lactis SMQ-404",NA,"Caudovirales",32182,NA,"Sk1virus","linear","Lactococcus virus CB13","Lactococcus_lactis","Yes"
"570","NC_029044","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",154434,NA,"Bxz1virus","linear","Mycobacterium phage Breeniome","Mycobacterium_smegmatis","Yes"
"571","NC_022330","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",76586,NA,NA,"circular","Mycobacterium phage Quink","Mycobacterium_smegmatis","Yes"
"572","NC_015209","Viruses","Inoviridae","ssDNA viruses","Vibrio cholerae KMN002",NA,NA,10638,"unassigned Inoviridae",NA,"linear","Vibrio virus CTXphi","Vibrio_cholerae","Yes"
"573","NC_004462","Viruses","Sphaerolipoviridae","Virus families not assigned to an order","Thermus thermophilus TZ2",NA,NA,19604,NA,"Gammasphaerolipovirus","circular","Thermus thermophilus phage IN93","Thermus_thermophilus","Yes"
"574","NC_009936","Viruses","Podoviridae","dsDNA viruses, no RNA stage","Pseudomonas aeruginosa",NA,"Caudovirales",41593,NA,"Autographivirinae","linear","Pseudomonas phage LKA1","Pseudomonas_aeruginosa","Yes"
"575","NC_028998","Viruses",NA,"dsDNA viruses, no RNA stage","Phormidium sp. MIS-PhA",NA,NA,41291,NA,"unclassified dsDNA phages","circular","Phormidium phage MIS-PhV1B","Phormidium_sp","Yes"
"576","NC_024206","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Lactobacillus gasseri ADH",NA,"Caudovirales",38269,NA,NA,"linear","Lactobacillus phage phi jlb1","Lactobacillus_gasseri","Yes"
"577","NC_028959","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Clostridium difficile",NA,"Caudovirales",52261,NA,NA,"linear","Clostridium phage phiMMP03","Clostridium_difficile","Yes"
"578","NC_028958","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Clostridium difficile",NA,"Caudovirales",41507,NA,NA,"linear","Clostridium phage phiCD146","Clostridium_difficile","Yes"
"579","NC_028951","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Clostridium difficile",NA,"Caudovirales",32846,NA,NA,"linear","Clostridium phage phiCD481-1","Clostridium_difficile","Yes"
"580","NC_028905","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Clostridium difficile",NA,"Caudovirales",41560,NA,NA,"linear","Clostridium phage phiCD111","Clostridium_difficile","Yes"
"581","NC_028883","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Clostridium difficile",NA,"Caudovirales",44461,NA,NA,"linear","Clostridium phage phiMMP01","Clostridium_difficile","Yes"
"582","NC_028838","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Clostridium difficile",NA,"Caudovirales",33274,NA,NA,"linear","Clostridium phage phiCD506","Clostridium_difficile","Yes"
"583","NC_028764","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Clostridium difficile",NA,"Caudovirales",49316,NA,NA,"linear","Clostridium phage phiCD505","Clostridium_difficile","Yes"
"584","NC_029022","Viruses",NA,"dsDNA viruses, no RNA stage","Clostridium tetani ATCC 9441",NA,NA,46895,NA,"unclassified dsDNA phages","circular","Clostridium phage phiCT9441A","Clostridium_tetani","Yes"
"585","NC_029008","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Bacillus thuringiensis 4J1",NA,"Caudovirales",41486,NA,NA,"circular","Bacillus phage phi4J1","Bacillus_thuringiensis","Yes"
"586","NC_029006","Viruses",NA,"dsDNA viruses, no RNA stage","Clostridium tetani ATCC 19406",NA,NA,35703,NA,"unclassified dsDNA phages","circular","Clostridium phage phiCT19406C","Clostridium_tetani","Yes"
"587","NC_029004","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Clostridium tetani ATCC 453",NA,"Caudovirales",36712,NA,NA,"circular","Clostridium phage phiCT453B","Clostridium_tetani","Yes"
"588","NC_028991","Viruses",NA,"dsDNA viruses, no RNA stage","Clostridium tetani ATCC 453",NA,NA,42158,NA,"unclassified dsDNA phages","circular","Clostridium phage phiCT453A","Clostridium_tetani","Yes"
"589","NC_028886","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Bacillus thuringiensis 4B1",NA,"Caudovirales",38663,NA,NA,"linear","Bacillus phage phi4B1","Bacillus_thuringiensis","Yes"
"590","NC_028880","Viruses","Podoviridae","dsDNA viruses, no RNA stage","Citrobacter freundii P10159",NA,"Caudovirales",38625,NA,NA,"linear","Citrobacter phage phiCFP-1","Citrobacter_freundii","Yes"
"591","NC_028857","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Citrobacter freundii",NA,"Caudovirales",172733,NA,"Moonvirus","linear","Citrobacter phage Merlin","Citrobacter_freundii","Yes"
"592","NC_028856","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Bacillus megaterium Km Sp-",NA,"Caudovirales",80148,NA,"Slashvirus","linear","Bacillus phage Stahl","Bacillus_megaterium","Yes"
"593","NC_028772","Viruses","Podoviridae","dsDNA viruses, no RNA stage","Enterobacter aerogenes",NA,"Caudovirales",39133,NA,"T7virus","linear","Enterobacter phage phiEap-1","Enterobacter_aerogenes","Yes"
"594","NC_028755","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Citrobacter sp.",NA,"Caudovirales",178182,NA,"T4virus","linear","Citrobacter phage Margaery","Citrobacter_sp","Yes"
"595","NC_029031","Viruses","Podoviridae","dsDNA viruses, no RNA stage","Synechococcus sp. WH7803",NA,"Caudovirales",45218,NA,NA,"circular","Synechococcus phage S-CBP42","Synechococcus_sp","Yes"
"596","NC_029030","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Streptococcus mutans DPC6143",NA,"Caudovirales",31075,NA,NA,"circular","Streptococcus phage APCM01","Streptococcus_mutans","Yes"
"597","NC_029029","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Brevibacillus laterosporus",NA,"Caudovirales",45552,NA,"Abouovirus","linear","Brevibacillus phage Abouo","Brevibacillus_laterosporus","Yes"
"598","NC_029028","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Escherichia coli K-12 MG1655",NA,"Caudovirales",60754,NA,"Nonagvirus","linear","Enterobacteria phage JenP1","Escherichia_coli","Yes"
"599","NC_029026","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Enterococcus faecalis",NA,"Caudovirales",130952,NA,NA,"circular","Enterococcus phage EFLK1","Enterococcus_faecalis","Yes"
"600","NC_029025","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Staphylococcus haemolyticus",NA,"Caudovirales",41843,NA,NA,"circular","Staphylococcus phage IME-SA4","Staphylococcus_haemolyticus","Yes"
"601","NC_029024","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Bacillus cereus",NA,"Caudovirales",56505,NA,"Cecivirus","circular","Bacillus virus 250","Bacillus_cereus","Yes"
"602","NC_029023","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Escherichia coli VN2-O8:F4 ETEC",NA,"Caudovirales",87712,NA,"Ounavirinae","circular","Escherichia phage JH2","Escherichia_coli","Yes"
"603","NC_029021","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Escherichia coli K-12 MG1655",NA,"Caudovirales",60747,NA,"Nonagvirus","linear","Enterobacteria phage JenK1","Escherichia_coli","Yes"
"604","NC_029019","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Stenotrophomonas maltophilia D1585",NA,"Caudovirales",42593,NA,NA,"circular","Stenotrophomonas phage vB_SmaS-DLP_2","Stenotrophomonas_maltophilia","Yes"
"605","NC_029017","Viruses","Podoviridae","dsDNA viruses, no RNA stage","Pseduomonas aeruginosa",NA,"Caudovirales",73420,NA,NA,"circular","Pseudomonas phage KPP21","Pseudomonas_aeruginosa","Yes"
"606","NC_029014","Viruses","Microviridae","ssDNA viruses","Parabacteroides merdae",NA,NA,5001,"unclassified Microviridae",NA,"circular","Parabacteroides phage YZ-2015b","Parabacteroides_merdae","Yes"
"607","NC_029013","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Citrobacter freundii",NA,"Caudovirales",177688,NA,"T4virus","circular","Citrobacter phage IME-CF2","Citrobacter_freundii","Yes"
"608","NC_029012","Viruses","Microviridae","ssDNA viruses","Parabacteroides distasonis",NA,NA,4623,"unclassified Microviridae",NA,"circular","Parabacteroides phage YZ-2015a","Parabacteroides_distasonis","Yes"
"609","NC_029010","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Staphylococcus aureus RN4220",NA,"Caudovirales",40592,NA,NA,"circular","Staphylococcus phage SA97","Staphylococcus_aureus","Yes"
"610","NC_029009","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Enterococcus faecalis",NA,"Caudovirales",147589,NA,NA,"circular","Enterococcus phage EFDG1","Enterococcus_faecalis","Yes"
"611","NC_029007","Viruses","Podoviridae","dsDNA viruses, no RNA stage","Ralstonia solanacearum",NA,"Caudovirales",43745,NA,NA,"circular","Ralstonia phage RSJ5","Ralstonia_solanacearum","Yes"
"612","NC_029005","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Streptomyces avermitilis ATCC 31267",NA,"Caudovirales",56445,NA,NA,"circular","Streptomyces phage phiSAJS1","Streptomyces_avermitilis","Yes"
"613","NC_029002","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Microcystis aeruginosa",NA,"Caudovirales",169223,NA,NA,"circular","Microcystis phage MaMV-DC","Microcystis_aeruginosa","Yes"
"614","NC_029000","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Stenotrophomonas maltophilia",NA,"Caudovirales",162327,NA,NA,"circular","Stenotrophomonas phage IME13","Stenotrophomonas_maltophilia","Yes"
"615","NC_028999","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Pseudomonas aeruginosa strain PAO1",NA,"Caudovirales",309208,NA,"unclassified phiKZ-like viruses","circular","Pseudomonas phage PhiPA3","Pseudomonas_aeruginosa","Yes"
"616","NC_028997","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Escherichia coli K-12 MG1655",NA,"Caudovirales",59802,NA,"Nonagvirus","linear","Enterobacteria phage JenP2","Escherichia_coli","Yes"
"617","NC_028995","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Acinetobacter soli KZ-1",NA,"Caudovirales",43216,NA,NA,"circular","Acinetobacter phage phiAC-1","Acinetobacter_soli","Yes"
"618","NC_028988","Viruses","Podoviridae","dsDNA viruses, no RNA stage","Ralstonia solanacearum",NA,"Caudovirales",44360,NA,NA,"circular","Ralstonia phage RSJ2","Ralstonia_solanacearum","Yes"
"619","NC_028984","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Streptococcus mutans P42-SM",NA,"Caudovirales",30664,NA,NA,"circular","Streptococcus phage M102AD","Streptococcus_mutans","Yes"
"620","NC_028983","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Bacillus cereus",NA,"Caudovirales",138877,NA,"Cp51virus","circular","Bacillus phage Shanette","Bacillus_cereus","Yes"
"621","NC_028982","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Bacillus cereus",NA,"Caudovirales",137918,NA,"Cp51virus","circular","Bacillus phage JL","Bacillus_cereus","Yes"
"622","NC_028979","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",57253,NA,NA,"linear","Mycobacterium phage Cheetobro","Mycobacterium_smegmatis","Yes"
"623","NC_028978","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",60609,NA,NA,"linear","Mycobacterium phage Murucutumbu","Mycobacterium_smegmatis","Yes"
"624","NC_028976","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Streptomyces griseus ATCC 10137",NA,"Caudovirales",50113,NA,NA,"linear","Streptomyces phage Izzy","Streptomyces_griseus","Yes"
"625","NC_028974","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Streptomyces griseus subsp. griseus ATCC 10137",NA,"Caudovirales",56528,NA,"Ydn12virus","linear","Streptomyces phage YDN12","Streptomyces_griseus","Yes"
"626","NC_028972","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Gordonia sp.",NA,"Caudovirales",75167,NA,NA,"linear","Gordonia phage Gmala1","Gordonia_sp","Yes"
"627","NC_028969","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Brevibacillus laterosporus",NA,"Caudovirales",52955,NA,NA,"linear","Brevibacillus phage Osiris","Brevibacillus_laterosporus","Yes"
"628","NC_028968","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",71214,NA,"Coopervirus","linear","Mycobacterium phage BrownCNA","Mycobacterium_smegmatis","Yes"
"629","NC_028967","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Propionibacterium acnes",NA,"Caudovirales",29605,NA,NA,"linear","Propionibacterium phage PAC1","Propionibacterium_acnes","Yes"
"630","NC_028966","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Tsukamurella inchonensis strain BEN701",NA,"Caudovirales",76269,NA,"Tin2virus","linear","Tsukamurella phage TIN3","Tsukamurella_inchonensis","No"
"631","NC_028962","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Staphylococcus sp.",NA,"Caudovirales",140961,NA,"Sep1virus","linear","Staphylococcus phage phiIPLA-C1C","Staphylococcus_sp","No"
"632","NC_028961","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",55094,NA,NA,"linear","Mycobacterium phage PopTart","Mycobacterium_smegmatis","Yes"
"633","NC_028957","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Escherichia coli",NA,"Caudovirales",171541,NA,"Sp18virus","linear","Escherichia phage vB_EcoM_VR26","Escherichia_coli","Yes"
"634","NC_028956","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mannheimia haemolytica 1152A serotype A6",NA,"Caudovirales",52139,NA,"unclassified Lambda-like viruses","linear","Mannheimia phage vB_MhS_1152AP2","Mannheimia_haemolytica","Yes"
"635","NC_028953","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",110764,NA,NA,"linear","Mycobacterium phage MiaZeal","Mycobacterium_smegmatis","Yes"
"636","NC_028952","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Streptomyces flavovirens",NA,"Caudovirales",60934,NA,NA,"linear","Streptomyces phage SF3","Streptomyces_flavovirens","Yes"
"637","NC_028947","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",62738,NA,NA,"linear","Mycobacterium phage Kratio","Mycobacterium_smegmatis","Yes"
"638","NC_028946","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",59652,NA,NA,"linear","Mycobacterium phage Dante","Mycobacterium_smegmatis","Yes"
"639","NC_028945","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Sinorhizobium meliloti",NA,"Caudovirales",206713,NA,NA,"linear","Sinorhizobium phage phiN3","Sinorhizobium_meliloti","Yes"
"640","NC_028944","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Bacillus thuringiensis kurstaki",NA,"Caudovirales",162252,NA,NA,"linear","Bacillus phage Eyuki","Bacillus_thuringiensis","Yes"
"641","NC_028943","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Escherichia coli DE048",NA,"Caudovirales",29237,NA,"P2virus","linear","Escherichia phage pro483","Escherichia_coli","Yes"
"642","NC_028942","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",68293,NA,"Pg1virus","linear","Mycobacterium phage Phipps","Mycobacterium_smegmatis","Yes"
"643","NC_028941","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",51161,NA,NA,"linear","Mycobacterium phage Turj99","Mycobacterium_smegmatis","Yes"
"644","NC_028939","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Pseudomonas aeruginosa PAER3_44",NA,"Caudovirales",68871,NA,NA,"linear","Pseudomonas phage vB_Pae_PS44","Pseudomonas_aeruginosa","Yes"
"645","NC_028937","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",58338,NA,NA,"linear","Mycobacterium phage Ovechkin","Mycobacterium_smegmatis","Yes"
"646","NC_028936","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",59052,NA,NA,"linear","Mycobacterium phage Enkosi","Mycobacterium_smegmatis","Yes"
"647","NC_028934","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",72139,NA,"Coopervirus","linear","Mycobacterium phage Vincenzo","Mycobacterium_smegmatis","Yes"
"648","NC_028933","Viruses","Podoviridae","dsDNA viruses, no RNA stage","Pseudomonas aeruginosa",NA,"Caudovirales",45626,NA,NA,"linear","Pseudomonas phage PhiCHU","Pseudomonas_aeruginosa","Yes"
"649","NC_028931","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Pseudomonas aeruginosa",NA,"Caudovirales",55108,NA,"Pamx74virus","linear","Pseudomonas phage PaMx28","Pseudomonas_aeruginosa","Yes"
"650","NC_028930","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Paenibacillus larvae ATCC 9545",NA,"Caudovirales",54439,NA,NA,"linear","Paenibacillus phage Tripp","Paenibacillus_larvae","Yes"
"651","NC_028929","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Listeria monocytogenes",NA,"Caudovirales",40759,NA,NA,"linear","Listeria phage vB_LmoS_293","Listeria_monocytogenes","Yes"
"652","NC_028928","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",53455,NA,NA,"linear","Mycobacterium phage Nerujay","Mycobacterium_smegmatis","Yes"
"653","NC_028926","Viruses","Podoviridae","dsDNA viruses, no RNA stage","Bacillus megaterium strain Km Sp-",NA,"Caudovirales",40000,NA,NA,"linear","Bacillus phage Palmer","Bacillus_megaterium","Yes"
"654","NC_028925","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Escherichia coli",NA,"Caudovirales",170822,NA,"Sp18virus","linear","Escherichia phage vB_EcoM_VR25","Escherichia_coli","Yes"
"655","NC_028923","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacteruim smegmatis mc2 155",NA,"Caudovirales",58472,NA,NA,"linear","Mycobacterium phage Llama","Mycobacterium_smegmatis","Yes"
"656","NC_028922","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",45161,NA,NA,"linear","Mycobacterium phage Cambiare","Mycobacterium_smegmatis","Yes"
"657","NC_028920","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",52530,NA,NA,"linear","Mycobacterium phage Abrogate","Mycobacterium_smegmatis","Yes"
"658","NC_028917","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Staphylococcus aureus",NA,"Caudovirales",41931,NA,NA,"linear","Staphylococcus phage 3MRA","Staphylococcus_aureus","Yes"
"659","NC_028916","Viruses","Podoviridae","dsDNA viruses, no RNA stage","Proteus mirabilis 414",NA,"Caudovirales",44573,NA,"unclassified Sp6likevirus","linear","Proteus phage vB_PmiP_Pm5460","Proteus_mirabilis","Yes"
"660","NC_028915","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Staphylococcus aureus NRL 08/236",NA,"Caudovirales",43228,NA,"unclassified Phietalikevirus","linear","Staphylococcus phage B236","Staphylococcus_aureus","Yes"
"661","NC_028910","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",55617,NA,NA,"linear","Mycobacterium phage XFactor","Mycobacterium_smegmatis","Yes"
"662","NC_028903","Viruses","Podoviridae","dsDNA viruses, no RNA stage","Escherichia coli 172",NA,"Caudovirales",77266,NA,"Phieco32virus","linear","Escherichia phage 172-1","Escherichia_coli","Yes"
"663","NC_028900","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Lactococcus lactis SMQ-404",NA,"Caudovirales",28144,NA,"Sk1virus","linear","Lactococcus virus Sl4","Lactococcus_lactis","Yes"
"664","NC_028898","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Mannheimia haemolytica 587A serotype A2",NA,"Caudovirales",35764,NA,"P2virus","linear","Mannheimia phage vB_MhM_587AP1","Mannheimia_haemolytica","Yes"
"665","NC_028896","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Escherichia coli DE048",NA,"Caudovirales",32675,NA,"P2virus","linear","Escherichia phage pro147","Escherichia_coli","Yes"
"666","NC_028895","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Vibrio cholerae 1051",NA,"Caudovirales",116138,NA,"unclassified T5likevirus","linear","Vibrio phage phi 3","Vibrio_cholerae","Yes"
"667","NC_028894","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Escherichia coli",NA,"Caudovirales",170336,NA,"Sp18virus","linear","Escherichia phage vB_EcoM_VR20","Escherichia_coli","Yes"
"668","NC_028892","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Streptomyces griseus ATCC 10137",NA,"Caudovirales",49949,NA,NA,"linear","Streptomyces phage Caliburn","Streptomyces_griseus","Yes"
"669","NC_028887","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Bacillus thuringiensis subsp. kurstaki",NA,"Caudovirales",167431,NA,"B4virus","linear","Bacillus phage AvesoBmore","Bacillus_thuringiensis","Yes"
"670","NC_028882","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Pseudomonas aeruginosa PAER2_24",NA,"Caudovirales",84583,NA,NA,"linear","Pseudomonas phage vB_PaeM_PS24","Pseudomonas_aeruginosa","Yes"
"671","NC_028881","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Escherichia coli",NA,"Caudovirales",170473,NA,"Js98virus","linear","Enterobacteria phage vB_EcoM_VR5","Escherichia_coli","Yes"
"672","NC_028879","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Pseudomonas aeruginosa",NA,"Caudovirales",43225,NA,NA,"linear","Pseudomonas phage PaMx42","Pseudomonas_aeruginosa","Yes"
"673","NC_028878","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",76271,NA,NA,"linear","Mycobacterium phage Archie","Mycobacterium_smegmatis","Yes"
"674","NC_028874","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",50614,NA,NA,"linear","Mycobacterium phage Pari","Mycobacterium_smegmatis","Yes"
"675","NC_028872","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Escherichia coli O157:H7",NA,"Caudovirales",86252,NA,"Ounavirinae","linear","Escherichia phage HY02","Escherichia_coli","Yes"
"676","NC_028871","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Listeria monocytogenes",NA,"Caudovirales",38392,NA,NA,"linear","Listeria phage vB_LmoS_188","Listeria_monocytogenes","Yes"
"677","NC_028870","Viruses","Podoviridae","dsDNA viruses, no RNA stage","Klebsiella pneumoniae 07RAFM-KPN-552",NA,"Caudovirales",43595,NA,"Autographivirinae","linear","Klebsiella phage vB_KpnP_SU552A","Klebsiella_pneumoniae","Yes"
"678","NC_028865","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Tsukamurella inchonensis BEN701",NA,"Caudovirales",76964,NA,"Tin2virus","linear","Tsukamurella phage TIN2","Tsukamurella_inchonensis","No"
"679","NC_028863","Viruses","Podoviridae","dsDNA viruses, no RNA stage","Escherichia coli DE69",NA,"Caudovirales",40477,NA,NA,"linear","Escherichia phage P694","Escherichia_coli","Yes"
"680","NC_028862","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Staphylococcus aureus",NA,"Caudovirales",44222,NA,NA,"linear","Staphylococcus phage vB_SauS_phi2","Staphylococcus_aureus","Yes"
"681","NC_028861","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",44576,NA,NA,"linear","Mycobacterium phage FlagStaff","Mycobacterium_smegmatis","Yes"
"682","NC_028859","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Staphylococcus aureus NRL 09/166",NA,"Caudovirales",42881,NA,"unclassified Phietalikevirus","linear","Staphylococcus phage B166","Staphylococcus_aureus","Yes"
"683","NC_028855","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Acinetobacter sp.",NA,"Caudovirales",44846,NA,NA,"linear","Acinetobacter phage YMC11/12/R2315","Acinetobacter_sp","No"
"684","NC_028854","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Paenibacillus larvae ATCC 25747",NA,"Caudovirales",43724,NA,"Sitaravirus","linear","Paenibacillus phage Sitara","Paenibacillus_larvae","Yes"
"685","NC_028853","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mannheimia haemolytica 535A serotype A1",NA,"Caudovirales",50078,NA,"unclassified Lambda-like viruses","linear","Mannheimia phage vB_MhS_535AP2","Mannheimia_haemolytica","Yes"
"686","NC_028850","Viruses","Podoviridae","dsDNA viruses, no RNA stage","Yersinia enterocolitica",NA,"Caudovirales",41449,NA,NA,"linear","Yersinia phage vB_YenP_ISAO8","Yersinia_enterocolitica","Yes"
"687","NC_028848","Viruses","Podoviridae","dsDNA viruses, no RNA stage","Acinetobacter baumannii 28",NA,"Caudovirales",41805,NA,"Autographivirinae","linear","Acinetobacter phage Fri1","Acinetobacter_baumannii","Yes"
"688","NC_028846","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",61081,NA,NA,"linear","Mycobacterium phage ShedlockHolmes","Mycobacterium_smegmatis","Yes"
"689","NC_028844","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",57293,NA,NA,"linear","Mycobacterium phage Phatniss","Mycobacterium_smegmatis","Yes"
